 num     #instances         #bytes  class name (module)
 172:             4            288  java.awt.Font (java.desktop@21.0.11)
 173:             6            288  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21.0.11)
 174:             6            288  java.util.stream.StreamOpFlag (java.base@21.0.11)
 175:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@21.0.11)
 176:             5            280  sun.util.calendar.ZoneInfo (java.base@21.0.11)
 177:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@21.0.11)
 178:             8            256  java.lang.invoke.VarForm (java.base@21.0.11)
 179:             8            256  java.math.RoundingMode (java.base@21.0.11)
 180:             8            256  java.util.Hashtable$Entry (java.base@21.0.11)
 181:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@21.0.11)
 182:             6            240  java.io.FileDescriptor (java.base@21.0.11)
 183:            10            240  java.lang.RuntimePermission (java.base@21.0.11)
 184:             5            240  java.lang.invoke.BoundMethodHandle$Species_LLJ (java.base@21.0.11)
 185:             6            240  java.lang.invoke.LambdaForm$BasicType (java.base@21.0.11)
 186:             5            240  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.11)
 187:            10            240  java.nio.charset.CoderResult (java.base@21.0.11)
 188:            10            240  java.nio.file.StandardOpenOption (java.base@21.0.11)
 189:             6            240  java.security.ProtectionDomain (java.base@21.0.11)
 190:             6            240  java.util.EnumMap (java.base@21.0.11)
 191:             3            240  java.util.zip.ZipFile$Source (java.base@21.0.11)
 192:             2            224  [Lsun.font.EAttribute; (java.desktop@21.0.11)
 193:             3            216  java.util.ResourceBundle$CacheKey (java.base@21.0.11)
 194:            13            208  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@21.0.11)
 195:             2            200  [Ljava.text.DateFormat$Field; (java.base@21.0.11)
 196:             5            200  java.security.CodeSource (java.base@21.0.11)
 197:             5            200  java.util.WeakHashMap$Entry (java.base@21.0.11)
 198:             5            200  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@21.0.11)
 199:             5            200  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@21.0.11)
 200:             4            192  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@21.0.11)
 201:             8            192  java.net.NetPermission (java.base@21.0.11)
 202:             3            192  java.nio.DirectByteBufferR (java.base@21.0.11)
 203:             6            192  java.util.ResourceBundle$KeyElementReference (java.base@21.0.11)
 204:             4            192  java.util.WeakHashMap (java.base@21.0.11)
 205:             8            192  java.util.regex.Pattern$GroupHead (java.base@21.0.11)
 206:             8            192  java.util.regex.Pattern$GroupTail (java.base@21.0.11)
 207:             3            192  java.util.zip.Inflater (java.base@21.0.11)
 208:             2            176  java.util.regex.Pattern (java.base@21.0.11)
 209:             3            168  boxOfActin.Mesh
 210:             3            168  java.io.FileCleanable (java.base@21.0.11)
 211:             3            168  java.nio.HeapByteBuffer (java.base@21.0.11)
 212:             3            168  java.util.Properties (java.base@21.0.11)
 213:             7            168  java.util.concurrent.atomic.AtomicLong (java.base@21.0.11)
 214:             3            168  java.util.jar.JarFile (java.base@21.0.11)
 215:             5            160  java.io.File (java.base@21.0.11)
 216:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@21.0.11)
 217:             5            160  java.util.ImmutableCollections$MapN (java.base@21.0.11)
 218:             5            160  java.util.regex.Pattern$Branch (java.base@21.0.11)
 219:             4            160  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@21.0.11)
 220:             4            160  sun.util.resources.Bundles$BundleReference (java.base@21.0.11)
 221:             6            144  [Ljava.lang.reflect.Constructor; (java.base@21.0.11)
 222:             1            144  boxOfActin.Chamber
 223:             6            144  java.lang.Thread$State (java.base@21.0.11)
 224:             3            144  java.lang.ThreadGroup (java.base@21.0.11)
 225:             3            144  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21.0.11)
 226:             3            144  java.util.Hashtable (java.base@21.0.11)
 227:             6            144  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@21.0.11)
 228:             3            144  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.11)
