step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
2006,9304,42007,7.9552449697e-12,-5.1329821470e-12,-4.5001999225e-13,0
2006,11446,42008,3.3682347276e-12,2.0632599362e-12,1.5952790955e-12,0
2006,17350,42008,3.0760712987e-12,-9.4619657161e-13,1.0581623992e-12,0
2006,23758,42002,5.2097067979e-12,1.3497786873e-12,7.8048515730e-13,0
2006,26884,42001,7.1035169934e-12,4.8380917328e-12,8.6308269627e-13,0
2006,26977,42007,9.6330686483e-12,-6.3586128550e-12,1.6828531434e-12,0
2006,27142,42001,2.5369350717e-12,-1.8049648148e-12,1.0834119504e-12,0
2007,1039,42008,3.7304217874e-12,2.7487072948e-12,1.4685011046e-12,0
2007,1333,42004,5.2485962625e-12,-4.6614500454e-12,-2.1306335060e-12,0
2007,2191,42002,3.5204378475e-12,1.5838557679e-12,6.2379515073e-13,0
2007,9304,42007,9.5336559827e-12,8.7995990702e-12,4.3854928369e-13,0
2007,11446,42008,9.2737267518e-12,-5.3813958498e-12,2.2056200182e-13,0
2007,17350,42008,3.0554934125e-13,-6.2091079348e-14,1.0519532913e-12,0
2007,23758,42002,5.3023670524e-12,1.6325552021e-12,6.6362744022e-13,0
2007,26884,42001,3.7469038289e-12,2.0162789895e-13,8.7443712617e-13,0
2007,26977,42007,9.0930119337e-12,8.5475931888e-12,2.1918450155e-12,0
2007,27142,42001,2.6488071719e-12,4.6755167012e-13,1.1185777456e-12,0
2008,1039,42008,1.1572270919e-11,1.0560887234e-11,2.5245898281e-12,0
2008,1333,42004,2.8324267844e-12,3.5314213881e-15,-1.7745705229e-12,0
2008,2191,42002,4.9803950027e-12,1.9671293674e-12,1.0359898432e-12,0
2008,9304,42007,4.8310448524e-12,-3.3088438673e-12,2.2948953935e-13,0
2008,11446,42008,6.0073526015e-12,5.8112928532e-12,1.0656868617e-12,0
2008,17350,42008,5.1601921520e-12,3.7998324105e-12,1.4319365323e-12,0
2008,23758,42002,8.6949848363e-12,-8.4865300551e-12,-1.7285513841e-14,0
2008,26884,42001,8.0223562168e-12,-4.1083365009e-12,3.8421628482e-13,0
2008,26977,42007,8.3030552919e-12,-6.2210488497e-12,1.6223081065e-12,0
2008,27142,42001,1.7659424270e-12,-8.4537606949e-13,8.7315071623e-13,0
2009,1039,42008,5.8599050091e-12,-5.5129611813e-12,1.9732933820e-12,0
2009,1333,42004,9.7308281224e-12,-9.4091115108e-12,-2.5914208972e-12,0
2009,2191,42002,5.6802249536e-12,4.5581420582e-13,1.4209038839e-12,0
2009,9304,42007,6.3252758066e-12,4.9778349845e-12,6.0470831901e-13,0
2009,11446,42008,3.8085879936e-12,-2.1395882028e-12,5.8532297932e-13,0
2009,17350,42008,1.0295833630e-11,-9.7443398836e-12,4.5750229370e-13,1
2009,23758,42002,4.0484456065e-12,-9.7709329776e-13,-4.5032029592e-13,0
2009,26884,42001,5.5750790269e-12,5.2420832432e-12,1.2495636836e-12,0
2009,26977,42007,4.0034277976e-12,2.5038460888e-12,1.4328059599e-12,0
2009,27142,42001,3.1342537073e-12,9.1786962145e-13,1.3129943313e-12,0
2010,1039,42008,7.0714900949e-12,4.5917011512e-12,2.1225778947e-12,0
2010,1333,42004,8.9652521518e-12,5.0194418934e-12,-2.2091298125e-12,0
2010,2191,42002,6.6447845490e-12,8.4916253716e-13,1.5313012794e-12,0
2010,9304,42007,2.7957991824e-12,-1.6983748392e-12,6.7959291623e-13,0
