 num     #instances         #bytes  class name (module)
 150:            30           1440  java.time.temporal.ChronoField (java.base@21.0.11)
 151:            30           1440  java.time.temporal.ValueRange (java.base@21.0.11)
 152:            60           1440  jdk.internal.module.ModuleReferenceImpl$CachedHash (java.base@21.0.11)
 153:             1           1400  [[B (java.base@21.0.11)
 154:            58           1392  java.lang.ProcessEnvironment$Value (java.base@21.0.11)
 155:            58           1392  java.lang.ProcessEnvironment$Variable (java.base@21.0.11)
 156:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@21.0.11)
 157:            17           1296  [LboxOfActin.ThreadSet$ThreadSpawn;
 158:            54           1296  java.util.jar.Attributes$Name (java.base@21.0.11)
 159:            54           1296  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@21.0.11)
 160:            38           1184  [Ljava.math.BigInteger; (java.base@21.0.11)
 161:            71           1136  jdk.proxy1.$Proxy6 (jdk.proxy1)
 162:             2           1048  [Ljava.time.LocalDateTime; (java.base@21.0.11)
 163:             1           1040  [Ljava.lang.Byte; (java.base@21.0.11)
 164:             1           1040  [Ljava.lang.Integer; (java.base@21.0.11)
 165:             1           1040  [Ljava.lang.Long; (java.base@21.0.11)
 166:             1           1040  [Ljava.lang.Short; (java.base@21.0.11)
 167:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@21.0.11)
 168:             1            976  [LboxOfActin.Parameter;
 169:            40            960  java.lang.invoke.Invokers (java.base@21.0.11)
 170:            59            944  jdk.jfr.internal.periodic.LookupKey (jdk.jfr@21.0.11)
 171:            29            928  java.util.Locale (java.base@21.0.11)
 172:            29            928  jdk.jfr.internal.event.EventConfiguration (jdk.jfr@21.0.11)
 173:            29            928  sun.util.locale.BaseLocale (java.base@21.0.11)
 174:            23            920  java.lang.reflect.AccessFlag (java.base@21.0.11)
 175:            37            888  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.11)
 176:            30            872  [Ljava.lang.annotation.ElementType; (java.base@21.0.11)
 177:            27            864  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.11)
 178:            35            848  [Ljava.lang.reflect.Constructor; (java.base@21.0.11)
 179:            21            840  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.11)
 180:            34            816  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.11)
 181:            24            768  sun.font.EAttribute (java.desktop@21.0.11)
 182:            24            768  sun.reflect.annotation.AnnotationType (java.base@21.0.11)
 183:            22            704  java.lang.reflect.ClassFileFormatVersion (java.base@21.0.11)
 184:            11            704  java.net.URL (java.base@21.0.11)
 185:            17            680  boxOfActin.Barrier
 186:            28            672  java.time.LocalTime (java.base@21.0.11)
 187:            28            672  jdk.internal.org.objectweb.asm.commons.Method (java.base@21.0.11)
 188:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@21.0.11)
 189:            14            592  [Ljava.lang.invoke.MethodType; (java.base@21.0.11)
 190:            12            576  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@21.0.11)
 191:            18            576  java.util.concurrent.atomic.LongAdder (java.base@21.0.11)
 192:            10            560  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.11)
 193:             2            560  java.util.concurrent.ConcurrentHashMap$CounterCell (java.base@21.0.11)
 194:             7            560  java.util.concurrent.TimeUnit (java.base@21.0.11)
 195:            35            560  jdk.proxy1.$Proxy9 (jdk.proxy1)
 196:            10            560  sun.invoke.util.Wrapper (java.base@21.0.11)
 197:             2            552  [Ljava.time.ZoneOffset; (java.base@21.0.11)
 198:            17            544  java.lang.ref.ReferenceQueue (java.base@21.0.11)
 199:            17            544  jdk.internal.org.objectweb.asm.Type (java.base@21.0.11)
 200:             4            544  sun.nio.fs.UnixFileAttributes (java.base@21.0.11)
 201:             1            528  [Ljava.lang.Character; (java.base@21.0.11)
 202:             1            528  [Ljava.util.TimerTask; (java.base@21.0.11)
 203:            22            528  java.time.Duration (java.base@21.0.11)
 204:            11            528  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.11)
 205:            16            512  java.time.temporal.ChronoUnit (java.base@21.0.11)
 206:            16            512  jdk.jfr.internal.LogTag (jdk.jfr@21.0.11)
 207:            12            480  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@21.0.11)
